trans_date_trans_time,cc_num,merchant,category,amt,gender,street,city,state,zip,city_pop,job,dob,merch_lat,merch_long,is_fraud,predicted_is_fraud
2020-06-21 22:32:22,6564459919350820,"fraud_Rodriguez, Yost and Jenkins",misc_net,780.52,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,1306,Public relations officer,1958-09-10,42.461127000000005,-91.147148,1,1
2020-06-21 22:37:27,6564459919350820,fraud_Nienow PLC,entertainment,620.33,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,1306,Public relations officer,1958-09-10,42.771834000000005,-90.158365,1,1
2020-06-21 22:38:55,4005676619255478,"fraud_Heathcote, Yost and Kertzmann",shopping_net,1077.69,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,71335,Herbalist,1994-05-31,31.204974,-90.261595,1,1
2020-06-21 23:02:16,3560725013359375,fraud_Hermann and Sons,shopping_pos,842.65,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,23,Cytogeneticist,1969-09-15,31.315782,-102.73639,1,1
2020-06-21 23:21:44,4005676619255478,fraud_Kuhic LLC,shopping_net,1128.26,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,71335,Herbalist,1994-05-31,30.354797,-91.146131,1,1
2020-06-21 23:35:27,4005676619255478,"fraud_Reichert, Rowe and Mraz",shopping_net,931.82,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,71335,Herbalist,1994-05-31,30.761363,-91.7136,1,1
2020-06-21 23:40:26,4005676619255478,"fraud_Kihn, Abernathy and Douglas",shopping_net,983.0,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,71335,Herbalist,1994-05-31,29.902451,-91.749089,1,1
2020-06-21 23:59:05,6564459919350820,fraud_Lemke-Gutmann,shopping_net,955.16,M,619 Jeremy Garden Apt. 681,Benton,WI,53803,1306,Public relations officer,1958-09-10,43.027879,-90.493768,1,1
2020-06-22 01:25:13,4005676619255478,"fraud_Goldner, Kovacek and Abbott",grocery_pos,326.94,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,71335,Herbalist,1994-05-31,29.784597,-90.671894,1,1
2020-06-22 01:54:33,3524574586339330,"fraud_Osinski, Ledner and Leuschke",grocery_pos,353.08,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,105638,"Librarian, public",1986-05-07,28.256217,-80.914551,1,1
2020-06-22 03:38:35,4005676619255478,"fraud_Kerluke, Considine and Macejkovic",misc_net,868.48,M,458 Phillips Island Apt. 768,Denham Springs,LA,70726,71335,Herbalist,1994-05-31,30.283263,-90.606406,1,1
2020-06-22 03:55:36,3524574586339330,fraud_Kuhn LLC,shopping_pos,777.45,F,94225 Smith Springs Apt. 617,Vero Beach,FL,32960,105638,"Librarian, public",1986-05-07,27.913215,-80.423565,1,1
2020-06-23 03:35:18,3546674063249004,"fraud_Johnson, Runolfsdottir and Mayer",misc_net,885.07,M,1626 Susan Course,Aledo,TX,76008,13602,Optometrist,1984-07-05,31.717089,-97.641174,0,1
2020-06-24 00:26:45,180098888332620,fraud_DuBuque LLC,grocery_pos,315.45,M,08469 Trujillo Forge,Springville,NY,14141,7728,"Scientist, research (maths)",1959-03-30,42.385601,-79.023729,1,1
2020-06-24 00:44:24,180098888332620,"fraud_Huel, Hammes and Witting",grocery_pos,279.78,M,08469 Trujillo Forge,Springville,NY,14141,7728,"Scientist, research (maths)",1959-03-30,41.898108,-78.397992,1,1
2020-06-24 02:56:50,180098888332620,fraud_Murray-Smitham,grocery_pos,287.38,M,08469 Trujillo Forge,Springville,NY,14141,7728,"Scientist, research (maths)",1959-03-30,42.012741,-79.204228,1,1
2020-06-24 03:21:56,180098888332620,fraud_Heidenreich PLC,grocery_pos,276.4,M,08469 Trujillo Forge,Springville,NY,14141,7728,"Scientist, research (maths)",1959-03-30,43.042593,-79.05250799999999,1,1
2020-06-24 03:33:40,180098888332620,fraud_Huels-Hahn,gas_transport,7.82,M,08469 Trujillo Forge,Springville,NY,14141,7728,"Scientist, research (maths)",1959-03-30,41.864069,-79.63338399999999,1,1
2020-06-24 22:03:55,180098888332620,fraud_Durgan-Auer,misc_net,790.54,M,08469 Trujillo Forge,Springville,NY,14141,7728,"Scientist, research (maths)",1959-03-30,43.22957,-78.451208,1,1
2020-06-24 22:07:11,180098888332620,fraud_Bednar Group,misc_net,723.23,M,08469 Trujillo Forge,Springville,NY,14141,7728,"Scientist, research (maths)",1959-03-30,41.673916,-78.922416,1,1
